gene,mean_A,mean_C,log2FC,pvalue,padj,mean_expr,status
fliF,340.56,575.96,0.7572,5.781208548519467e-07,0.0019381849094073768,8.8416,Up in C
cheW,858.45,1326.95,0.628,9.347089584563753e-07,0.0019381849094073768,10.0943,Up in C
tsr,1357.11,1933.63,0.5106,1.370387633330693e-06,0.0019381849094073768,10.6846,Up in C
fliH,194.76,328.22,0.7514,2.4061635024743388e-06,0.0025523379352496546,8.0334,Up in C
fliL,191.21,307.81,0.6854,3.5873450532708818e-06,0.0030442210122056702,7.9658,Up in C
fliG,294.72,504.15,0.7735,5.446560711968237e-06,0.0038516261834802053,8.6436,Up in C
fliI,151.58,252.76,0.7358,8.542585525082127e-06,0.005178027197560495,7.663,Up in C
motB,824.74,1241.82,0.5902,2.0223835523728803e-05,0.010726216765897663,10.0137,Up in C
yhbJ,1669.67,1434.48,-0.219,2.9491414114428166e-05,0.013084008840950123,10.6004,NS
intB,102.82,134.65,0.3876,3.083669300247495e-05,0.013084008840950123,6.8977,NS
fliA,1203.99,2064.23,0.7775,6.611138440994995e-05,0.02550096400467433,10.6747,Up in C
flhB,133.18,221.93,0.7346,0.00010205274448699612,0.03283568663365667,7.4761,Up in C
alkA,53.89,74.97,0.4727,0.0001072899038630721,0.03283568663365667,6.0208,NS
yhjH,725.43,1072.35,0.5635,0.00010834306218976983,0.03283568663365667,9.8128,Up in C
flgN,610.98,938.25,0.6184,0.00015633643900558205,0.04422236738004564,9.5983,Up in C
tar,2970.04,4227.01,0.5091,0.00021203701126758362,0.05402591473036698,11.8134,Up in C
flgL,1575.45,2456.37,0.6406,0.0002164601815734713,0.05402591473036698,10.9776,Up in C
ybcL,19.59,30.91,0.6447,0.00026502422223972124,0.060821046095399595,4.6865,Up in C
cheA,1925.43,2678.61,0.4762,0.000272354436910816,0.060821046095399595,11.169,NS
tap,1698.29,2276.25,0.4225,0.00030064577439725074,0.06378200103837675,10.9569,NS
ydjR,180.95,281.75,0.6374,0.000329685948532562,0.06661226093446003,7.8571,Up in C
rplQ,4533.95,3703.63,-0.2918,0.00036037074578667064,0.06685630703479005,12.0082,NS
tfaR,0.13,2.12,2.0604,0.00036240750926235475,0.06685630703479005,0.699,Up in C
rbfA,532.22,438.33,-0.2797,0.0004617386674167823,0.08097019403040019,8.9242,NS
cheR,268.59,354.43,0.3995,0.00048604873686593984,0.08097019403040019,8.2854,NS
flgM,644.53,983.1,0.6087,0.000526935837052463,0.08097019403040019,9.6694,Up in C
fliK,113.9,174.92,0.6166,0.0005375770690410612,0.08097019403040019,7.179,Up in C
fliZ,499.97,891.88,0.8344,0.0005525884310433157,0.08097019403040019,9.4438,Up in C
atpH,3974.48,2973.76,-0.4184,0.0005694668909884046,0.08097019403040019,11.7626,NS
yegP,528.69,668.14,0.3374,0.0005724972474456766,0.08097019403040019,9.2262,NS
fliT,343.25,496.5,0.5319,0.000655313690894313,0.08193913361177774,8.7155,Up in C
flhA,191.09,262.14,0.4551,0.0006648388564202991,0.08193913361177774,7.8273,NS
rpmJ,3007.94,2294.89,-0.3903,0.0006656992450722279,0.08193913361177774,11.3728,NS
flgI,227.48,394.61,0.7933,0.0006717167587275216,0.08193913361177774,8.2833,Up in C
flgK,1504.92,2376.12,0.6588,0.0006759061221805846,0.08193913361177774,10.9226,Up in C
secY,21032.57,15824.54,-0.4105,0.0007155827426093555,0.08433937713587486,14.1697,NS
truB,754.65,605.25,-0.318,0.0007950326543246652,0.08930889026519821,9.4103,NS
rpoC,23847.88,17826.38,-0.4198,0.0007998439382695103,0.08930889026519821,14.3469,NS
moeB,330.68,263.72,-0.3259,0.0009063225047514859,0.09860324070924499,8.2177,NS
fliM,254.24,377.94,0.571,0.0009573006615584052,0.09902304598299994,8.3065,Up in C
motA,1008.74,1498.0,0.5702,0.0009770212260421095,0.09902304598299994,10.2922,Up in C
yjdA,304.72,529.12,0.7951,0.0009801951287499405,0.09902304598299994,8.7054,Up in C
torR,165.56,142.19,-0.2188,0.0010653487715864285,0.10512267064747013,7.2703,NS
rpsK,7274.18,5518.79,-0.3984,0.001127166582456497,0.10869472294006631,12.6432,NS
flxA,278.69,526.51,0.9166,0.0012870897961913734,0.11922553718943131,8.655,Up in C
fimF,46.94,68.0,0.5298,0.0012925700473046997,0.11922553718943131,5.8573,Up in C
rpoA,19399.96,15534.38,-0.3206,0.0014292213688479277,0.12902523974514377,14.0924,NS
rpoB,21843.13,15547.38,-0.4905,0.0014738264093871094,0.130280113646448,14.1904,NS
flgB,668.86,1180.63,0.8193,0.0015603079345525995,0.13510992992462612,9.8537,Up in C
cheZ,506.71,677.65,0.419,0.0015991680935689302,0.1357054044202594,9.2111,NS
fliC,29109.96,39965.07,0.4572,0.0017779966864765366,0.14792235177882246,15.0759,NS
flgJ,192.07,323.99,0.7528,0.0020234537535558563,0.15683015730547398,8.0142,Up in C
fliS,535.35,728.31,0.4437,0.0020283300821096624,0.15683015730547398,9.3045,NS
yoaC,85.78,121.63,0.5013,0.0020327093380320075,0.15683015730547398,6.7033,Up in C
mraZ,437.68,515.7,0.2364,0.002040293156708067,0.15683015730547398,8.8984,NS
fliD,1884.08,2753.03,0.547,0.0021052933658445784,0.15683015730547398,11.1793,Up in C
ilvY,143.64,103.03,-0.4774,0.0021068392567551303,0.15683015730547398,6.9522,NS
glpQ,122.62,151.65,0.3055,0.0021895967663980004,0.1601803289625296,7.1047,NS
fliJ,42.84,80.86,0.9084,0.002249868553275025,0.16179986900925308,5.9623,Up in C
galT,219.31,173.87,-0.3341,0.002394311043400848,0.16931769595249663,7.6227,NS
rpsL,8230.67,5965.29,-0.4644,0.002443170199713075,0.16994051077676356,12.7933,NS
hcaE,100.38,122.98,0.2917,0.0025111955302880755,0.17185488120987585,6.8097,NS
hdhA,1824.71,2180.43,0.2569,0.0026435254600054537,0.17803934169528793,10.968,NS
deoB,2238.89,1823.04,-0.2964,0.002690391722188448,0.17836456370696224,10.9883,NS
atpA,14741.6,11120.8,-0.4066,0.002766940423289267,0.18061735716948246,13.6586,NS
rplD,7958.17,5460.34,-0.5434,0.0028793769163290134,0.18510903418157582,12.712,Up in A
ynjH,67.03,108.7,0.6933,0.0031440559282728555,0.19388480557328513,6.4655,Up in C
rpsE,8205.63,5813.77,-0.4971,0.0031857834651327042,0.19388480557328513,12.7752,NS
fimD,311.8,424.87,0.4458,0.003194951374463648,0.19388480557328513,8.5268,NS
yjiZ,168.97,227.55,0.4284,0.0032542306760106714,0.19388480557328513,7.6349,NS
sspB,1172.36,1017.47,-0.2043,0.003267120937096015,0.19388480557328513,10.0973,NS
msyB,440.19,517.25,0.2325,0.0032900556213237165,0.19388480557328513,8.9045,NS
flgA,249.64,370.04,0.5669,0.0034039966601014486,0.19785147710699244,8.2777,Up in C
rplB,12286.37,8472.34,-0.5362,0.003510330609424273,0.20127476724036744,13.3415,Up in A
flgD,1248.09,2027.48,0.6997,0.0036616246974467493,0.20187728972345875,10.678,Up in C
deaD,3101.08,2320.03,-0.4185,0.003683818750686084,0.20187728972345875,11.4046,NS
rplA,12186.49,9480.2,-0.3623,0.0037432699291048152,0.20187728972345875,13.4033,NS
alaW,43.77,13.97,-1.6131,0.0037948452631124535,0.20187728972345875,4.8765,Up in A
flgH,279.15,440.79,0.6581,0.0038017089161800424,0.20187728972345875,8.4937,Up in C
ydfT,28.93,42.88,0.56,0.003930278777585297,0.20187728972345875,5.186,Up in C
eda,1866.18,1557.52,-0.2608,0.003952518014307601,0.20187728972345875,10.7418,NS
valY,178.12,93.74,-0.9225,0.0039659997996159616,0.20187728972345875,7.092,Up in A
ssrS,2429.6,1233.43,-0.9778,0.0039848110037207195,0.20187728972345875,10.8392,Up in A
ycgN,189.17,231.95,0.2934,0.003996627937018745,0.20187728972345875,7.7215,NS
dnaQ,544.06,489.61,-0.152,0.004094264159179335,0.20192664778030797,9.015,NS
cheB,236.01,341.04,0.5302,0.0041774547704271905,0.20192664778030797,8.1751,Up in C
yecR,29.04,44.38,0.6035,0.0041823420120500636,0.20192664778030797,5.2175,Up in C
fimA,5636.42,7201.49,0.3535,0.004220530996532188,0.20192664778030797,12.6482,NS
glyS,5430.54,4424.31,-0.2956,0.00423555777809272,0.20192664778030797,12.2668,NS
ychN,373.81,471.67,0.3351,0.004313028912142292,0.20333535193577496,8.7253,NS
rfaF,858.47,680.27,-0.3354,0.004406102288771131,0.20544057155226272,9.5885,NS
yahO,164.14,244.44,0.5731,0.00454615402141096,0.20966664687876851,7.678,Up in C
fliE,40.01,70.93,0.8183,0.004669627074801083,0.21304545890732252,5.8065,Up in C
sspA,2427.84,1967.5,-0.3032,0.004759644082697536,0.21387033470686456,11.1021,NS
recX,74.9,55.95,-0.4176,0.004788517981888318,0.21387033470686456,6.0427,NS
yghW,119.45,6.69,-4.0601,0.004859039283988356,0.21475941335377702,5.9903,Up in A
rplO,8698.93,6405.93,-0.4414,0.0053158323480112955,0.23252656342898895,12.8828,NS
cpdA,888.93,790.54,-0.1691,0.005380224386891959,0.2329417558528835,9.7146,NS
ygeA,106.66,138.79,0.3782,0.00556160240594564,0.23539616657291756,6.9451,NS
ihfB,2196.66,2641.92,0.2662,0.0055997909107486695,0.23539616657291756,11.2407,NS
sraB,202.53,296.78,0.5501,0.005618209978138482,0.23539616657291756,7.9667,Up in C
valS,5064.31,4276.35,-0.244,0.0056917471171286154,0.23539616657291756,12.1895,NS
ubiH,932.17,789.5,-0.2395,0.005783944061481413,0.23539616657291756,9.7504,NS
amiB,472.08,428.62,-0.1392,0.005877416461054088,0.23539616657291756,8.8165,NS
cheY,310.31,480.68,0.6305,0.005915851270457281,0.23539616657291756,8.6293,Up in C
yohN,144.87,195.72,0.4328,0.005991250851133551,0.23539616657291756,7.4161,NS
amyA,583.85,703.66,0.2691,0.006009411844790046,0.23539616657291756,9.3315,NS
kdsB,803.74,662.08,-0.2795,0.006011455175216718,0.23539616657291756,9.5185,NS
yhjG,398.91,509.67,0.3531,0.006047179391102525,0.23539616657291756,8.8291,NS
ydeI,96.43,126.06,0.3847,0.006166888013693213,0.23787368947363913,6.8041,NS
yfaH,6.97,11.39,0.6713,0.00626664834075856,0.2395440442327799,3.2748,Up in C
deoD,1579.26,1329.69,-0.2481,0.006518758914175111,0.24290848725144779,10.5068,NS
nusB,943.88,821.99,-0.1994,0.0066058342254737955,0.24290848725144779,9.787,NS
yaiY,41.22,50.65,0.2938,0.006622801222459776,0.24290848725144779,5.5371,NS
uhpT,113.73,155.13,0.4462,0.006668329627314076,0.24290848725144779,7.0761,NS
prsA,4176.72,3308.46,-0.3362,0.006720953865563077,0.24290848725144779,11.87,NS
yaiE,123.33,165.88,0.4262,0.006727910613742901,0.24290848725144779,7.181,NS
rpsG,11896.96,8583.38,-0.471,0.0067554092612940935,0.24290848725144779,13.322,NS
rplJ,12749.32,10684.0,-0.255,0.006870730519861843,0.24497907223339327,13.5163,NS
nudG,72.75,105.24,0.5297,0.0070171388212436235,0.2481143334878058,6.4837,Up in C
flgE,1931.03,2958.31,0.6153,0.007597009613244326,0.2650114004341618,11.2557,Up in C
rpsC,10348.52,7740.48,-0.4189,0.007764807539959715,0.2650114004341618,13.1429,NS
flgC,678.95,1094.74,0.6888,0.007776520588018825,0.2650114004341618,9.7933,Up in C
rplE,15667.96,11538.89,-0.4413,0.007900434023180504,0.2650114004341618,13.7317,NS
rplT,9619.45,7485.74,-0.3618,0.007910550314211593,0.2650114004341618,13.0622,NS
yfgL,2020.25,1817.4,-0.1526,0.007912237934950371,0.2650114004341618,10.9064,NS
ycgE,336.18,409.94,0.2858,0.007932229049054572,0.2650114004341618,8.5452,NS
ybhT,122.77,65.52,-0.9008,0.008042080594079218,0.26583718981251053,6.5645,Up in A
rimL,100.21,132.22,0.3982,0.008082252530241306,0.26583718981251053,6.8668,NS
cchB,1.23,3.67,1.2716,0.008234950284434021,0.2687761081296427,1.5603,Up in C
brnQ,1599.51,1284.43,-0.3164,0.008346822003416084,0.270347830232782,10.4943,NS
yjfY,17.56,26.8,0.5962,0.00853582102835481,0.2743749138129505,4.5033,Up in C
rfaD,1912.31,1626.71,-0.2333,0.009313434998611094,0.29540625013432303,10.7895,NS
torI,26.21,39.1,0.568,0.009329351288710649,0.29540625013432303,5.0511,Up in C
galK,465.77,528.88,0.1831,0.009409062416352386,0.2957233469080235,8.9595,NS
ydhB,140.36,129.08,-0.1204,0.009525472712017567,0.2959030042641035,7.0792,NS
atpD,9003.46,7208.11,-0.3208,0.009554256795706382,0.2959030042641035,12.9848,NS
usg,591.62,479.91,-0.3016,0.009659971156298151,0.2970091131606743,9.0668,NS
metY,187.72,104.99,-0.8352,0.009933181522792066,0.3015318843245833,7.1982,Up in A
sapB,143.01,128.12,-0.158,0.010010433814997506,0.3015318843245833,7.0881,NS
pstB,310.88,264.94,-0.2303,0.010020267661976489,0.3015318843245833,8.172,NS
yjbE,8.78,17.83,0.9819,0.010495557831458426,0.31361022449914155,3.7868,Up in C
mscL,326.72,410.64,0.3293,0.010917520661238425,0.32339418182017704,8.5282,NS
yeaO,135.22,175.94,0.3785,0.011062848348494142,0.32339418182017704,7.2861,NS
yjcZ,385.2,539.32,0.485,0.011086269550170197,0.32339418182017704,8.8541,NS
ylaB,122.68,148.1,0.2707,0.011182985878157295,0.32339418182017704,7.0863,NS
fucU,112.05,135.55,0.2736,0.011249064642310085,0.32339418182017704,6.9577,NS
rplR,6773.45,4774.6,-0.5045,0.011280306129951968,0.32339418182017704,12.4955,Up in A
ynfA,23.21,32.54,0.4785,0.011453669523197551,0.3244213214808394,4.8266,NS
ykfB,127.97,164.69,0.3627,0.011469054494962506,0.3244213214808394,7.198,NS
sbmC,192.26,230.69,0.2623,0.011686103947172408,0.32737298694534467,7.7278,NS
dinJ,198.23,241.69,0.2853,0.011764435492084335,0.32737298694534467,7.7844,NS
yccF,119.6,92.63,-0.3669,0.01185701561096027,0.32737298694534467,6.7363,NS
fliO,42.27,63.46,0.5807,0.011898314511491884,0.32737298694534467,5.7378,Up in C
ydhR,819.63,1103.34,0.4286,0.011959182883933167,0.32737298694534467,9.9099,NS
ybjL,558.15,487.19,-0.196,0.01222079564028597,0.3323899737290601,9.0311,NS
alaX,31.17,11.28,-1.4272,0.012377710511030352,0.3345135394796292,4.4413,Up in A
topB,1053.49,883.49,-0.2538,0.012492288056752785,0.33547327990381054,9.9203,NS
yabQ,31.87,49.83,0.6368,0.012686110939564076,0.33853565230547406,5.3699,Up in C
flgF,688.74,1029.36,0.5794,0.012777080009561488,0.33883219050355873,9.7474,Up in C
cspF,19.64,29.01,0.551,0.013082104079425174,0.3423221613029594,4.6339,Up in C
rplF,10203.31,7176.4,-0.5077,0.013247784704589446,0.3423221613029594,13.0852,Up in A
dksA,1514.96,1769.89,0.2243,0.013257742401462326,0.3423221613029594,10.682,NS
csgE,8.1,15.63,0.9078,0.013288732190610855,0.3423221613029594,3.628,Up in C
sufI,647.81,576.81,-0.1673,0.013319141491044394,0.3423221613029594,9.2593,NS
hupA,2287.33,3025.75,0.4035,0.013392759551329545,0.3423221613029594,11.3756,NS
gyrA,4769.4,4115.93,-0.2126,0.0137813647913106,0.34435518342480914,12.1174,NS
recO,279.2,237.12,-0.2352,0.013793711499434654,0.34435518342480914,8.0149,NS
cdsA,379.44,314.21,-0.2717,0.013859934988033762,0.34435518342480914,8.4402,NS
gltS,263.05,200.82,-0.3886,0.013882191488322159,0.34435518342480914,7.8607,NS
flgG,746.64,1109.84,0.5716,0.013998278224756312,0.34435518342480914,9.8591,Up in C
yoaF,50.52,65.02,0.361,0.01403850576931069,0.34435518342480914,5.8646,NS
rplP,6401.99,5029.14,-0.3482,0.014040406960285643,0.34435518342480914,12.4808,NS
yaeH,279.77,335.77,0.2628,0.014181760289636483,0.34582303970648043,8.268,NS
metK,17682.8,14025.83,-0.3342,0.014801842916666055,0.3586380778271742,13.9526,NS
secD,2211.39,2050.56,-0.1089,0.014923797144088695,0.3586380778271742,11.0576,NS
glyQ,2560.51,2043.84,-0.3251,0.01496969845295638,0.3586380778271742,11.1691,NS
ytfB,355.39,421.24,0.2449,0.015045387191429888,0.3586380778271742,8.6029,NS
chbR,39.68,53.84,0.4354,0.015247741790100163,0.3614311084658938,5.5627,NS
nfi,299.98,242.16,-0.3084,0.015384775621686523,0.3626533497934218,8.0852,NS
ycgK,141.45,168.62,0.2526,0.015533715381968304,0.36414118434083714,7.2811,NS
allD,6.72,14.29,1.0359,0.015690145081894383,0.36578728342020805,3.4601,Up in C
tatC,261.93,199.25,-0.3937,0.016155658947602028,0.37458175363210605,7.8523,NS
lit,228.25,180.92,-0.3345,0.01634336719043329,0.37542428811193385,7.6801,NS
yeeA,126.01,146.9,0.2205,0.016433529280066216,0.37542428811193385,7.0976,NS
rplL,10661.61,9238.32,-0.2067,0.016457439921946662,0.37542428811193385,13.2805,NS
ribD,899.33,799.92,-0.1689,0.016692107091199105,0.3764847464854084,9.7315,NS
cpxR,744.5,645.97,-0.2047,0.01671176866883528,0.3764847464854084,9.4424,NS
dhaR,143.32,160.13,0.1595,0.016887076895275407,0.3764847464854084,7.2501,NS
ileS,7177.01,5931.19,-0.275,0.01694708302086488,0.3764847464854084,12.6783,NS
rplC,12039.91,8824.09,-0.4483,0.01703850041380832,0.3764847464854084,13.3488,NS
ybfF,281.77,233.64,-0.2697,0.017189656013906568,0.3764847464854084,8.0124,NS
emrB,218.73,199.12,-0.1352,0.017210143793021233,0.3764847464854084,7.7103,NS
yfaU,48.17,57.83,0.2612,0.01738401134362507,0.3764847464854084,5.7414,NS
yoaH,132.68,163.96,0.3044,0.017458866149650424,0.3764847464854084,7.2174,NS
secB,1401.39,1141.98,-0.2952,0.01750438281847574,0.3764847464854084,10.3131,NS
valX,615.53,396.23,-0.6348,0.017619802711254802,0.3764847464854084,8.9841,Up in A
hns,3428.15,3926.28,0.1957,0.01767473582610233,0.3764847464854084,11.8446,NS
ptsN,1112.23,941.52,-0.2403,0.017684958196934244,0.3764847464854084,10.0047,NS
glxK,24.94,36.2,0.5291,0.01774615821284037,0.3764847464854084,4.9574,Up in C
ymcB,18.63,12.54,-0.553,0.018077848751429138,0.37850387746997777,4.0074,Up in A
yheT,311.68,252.75,-0.3019,0.018106981040783527,0.37850387746997777,8.1432,NS
yqeH,13.08,20.39,0.6217,0.018180330609144285,0.37850387746997777,4.1073,Up in C
alaS,7542.05,6385.16,-0.2402,0.018232046098609223,0.37850387746997777,12.7657,NS
ygiC,812.45,707.62,-0.1992,0.018287366222329824,0.37850387746997777,9.5709,NS
yiaG,271.0,345.2,0.3486,0.018605409803045564,0.3785602090114834,8.2696,NS
yafY,36.18,48.16,0.4076,0.018606838428244156,0.3785602090114834,5.4153,NS
aspS,3218.59,2669.78,-0.2697,0.01861096059121091,0.3785602090114834,11.5239,NS
ydcW,94.73,111.24,0.2307,0.018646967636907857,0.3785602090114834,6.6932,NS
dppB,724.65,604.51,-0.2613,0.01896979154576785,0.38094283885488467,9.3774,NS
yohD,118.75,130.66,0.1373,0.018988572671704184,0.38094283885488467,6.9682,NS
sra,1016.68,1437.54,0.4995,0.019033674720064942,0.38094283885488467,10.2616,NS
fliN,85.99,132.65,0.6224,0.019275254424939225,0.3839666879108785,6.779,Up in C
phoA,172.22,202.25,0.2313,0.019751091668317643,0.39160692499379324,7.5526,NS
yraN,120.44,147.02,0.2865,0.020367878391131494,0.3981486719458937,7.0686,NS
yjeP,427.26,390.31,-0.1303,0.020440951273872836,0.3981486719458937,8.677,NS
yafL,27.7,34.92,0.3288,0.0204843087860552,0.3981486719458937,4.9914,NS
ypdA,131.09,154.71,0.2382,0.020695315729283768,0.3981486719458937,7.1639,NS
yghG,73.8,57.0,-0.3698,0.02076936967197935,0.3981486719458937,6.0422,NS
dipZ,731.85,634.35,-0.2061,0.020771441262765363,0.3981486719458937,9.417,NS
dppC,584.78,482.67,-0.2766,0.020843709810878762,0.3981486719458937,9.0613,NS
recA,3186.11,2858.85,-0.1563,0.020987602914705358,0.3981486719458937,11.5618,NS
rplI,3638.62,2589.49,-0.4906,0.02103800944763683,0.3981486719458937,11.6048,NS
yhiR,422.78,349.88,-0.2727,0.021078689680359204,0.3981486719458937,8.5956,NS
yaiB,408.6,577.97,0.4998,0.02161691202899712,0.3981486719458937,8.9477,NS
ybaD,344.54,305.0,-0.1756,0.021661668536005485,0.3981486719458937,8.3455,NS
lysS,3656.22,3092.03,-0.2418,0.021781654264756478,0.3981486719458937,11.7205,NS
hisL,15.59,7.93,-0.9333,0.02179536886983393,0.3981486719458937,3.616,Up in A
yahD,25.95,36.69,0.4913,0.021918175561573897,0.3981486719458937,4.9918,NS
lysQ,25.78,17.39,-0.5552,0.021933508600107114,0.3981486719458937,4.465,Up in A
yabP,142.69,178.52,0.3222,0.022021628140717592,0.3981486719458937,7.3318,NS
recN,434.72,378.16,-0.2008,0.022343460674767043,0.3981486719458937,8.6687,NS
lysU,1325.66,986.6,-0.426,0.022400559440450194,0.3981486719458937,10.1757,NS
ffh,2109.59,1850.91,-0.1887,0.022402776970876264,0.3981486719458937,10.9518,NS
gnd,11090.11,9677.9,-0.1965,0.022422759283855415,0.3981486719458937,13.3421,NS
rpmD,3266.48,2489.73,-0.3917,0.02258068491887002,0.3981486719458937,11.4912,NS
yhgA,62.6,72.26,0.2054,0.022639921453600796,0.3981486719458937,6.086,NS
clpB,8402.07,7245.21,-0.2137,0.022712120309662805,0.3981486719458937,12.9337,NS
potB,141.98,104.47,-0.4408,0.022805278603627195,0.3981486719458937,6.951,NS
fimG,75.71,91.65,0.274,0.022875455016854444,0.3981486719458937,6.3954,NS
isrC,85.34,61.48,-0.4699,0.023133338154589272,0.3981486719458937,6.2076,NS
ypdI,16.57,23.86,0.5132,0.02323715650775247,0.3981486719458937,4.3728,Up in C
bcp,1526.09,1712.73,0.1664,0.023263577321608952,0.3981486719458937,10.6617,NS
yeaB,242.94,213.85,-0.1836,0.023284455058647714,0.3981486719458937,7.8385,NS
yfdV,14.85,8.92,-0.705,0.02335243153410759,0.3981486719458937,3.6306,Up in A
ygbT,56.86,48.95,-0.2141,0.023372392250927285,0.3981486719458937,5.739,NS
yhbC,759.21,613.26,-0.3078,0.023495035858778227,0.3981486719458937,9.4236,NS
insI,37.7,47.44,0.3277,0.023512299623265648,0.3981486719458937,5.4285,NS
lpxB,819.15,705.74,-0.2148,0.02351444504207821,0.3981486719458937,9.5754,NS
fusA,52088.8,39366.45,-0.404,0.023540216249630364,0.3981486719458937,15.4808,NS
ymcE,24.02,35.9,0.5697,0.023552985307192863,0.3981486719458937,4.9288,Up in C
rplX,7424.8,5990.48,-0.3097,0.024378482951653558,0.4104678696978812,12.7117,NS
ftsX,482.92,444.8,-0.1185,0.02523965868780775,0.423288030878926,8.8591,NS
infB,7883.55,6562.32,-0.2646,0.0255807583551407,0.4273195185073307,12.8185,NS
rplK,7548.58,6167.63,-0.2915,0.02572719309441519,0.42738254626284966,12.7437,NS
yfdG,87.34,111.88,0.3554,0.025785984408034295,0.42738254626284966,6.6455,NS
fimC,246.81,318.84,0.3688,0.025948687273098615,0.42840575914302503,8.1463,NS
sroF,768.72,325.88,-1.2369,0.026094416975497605,0.42914190398076096,9.0975,Up in A
rhlB,2206.31,2044.51,-0.1099,0.026228837530791808,0.4296870951472959,11.0539,NS
fucK,61.57,79.58,0.3676,0.0266417117436619,0.4340852277035337,6.1512,NS
rbsD,461.5,647.88,0.4889,0.02679227488281672,0.4340852277035337,9.1168,NS
mukB,2523.14,2343.71,-0.1064,0.026903066989337046,0.4340852277035337,11.2491,NS
yeaQ,621.02,791.09,0.349,0.026935234872805948,0.4340852277035337,9.4647,NS
yfgM,977.2,888.04,-0.138,0.02707578912118005,0.4340852277035337,9.8659,NS
cvpA,719.74,536.13,-0.4245,0.02722569254426723,0.4340852277035337,9.2956,NS
ygcJ,52.47,41.36,-0.3396,0.0272604457505742,0.4340852277035337,5.5674,NS
valU,188.53,122.45,-0.6206,0.027376163998734167,0.4340852277035337,7.2853,Up in A
lspA,586.65,484.27,-0.2764,0.0274602447164325,0.4340852277035337,9.066,NS
trkA,409.4,379.92,-0.1077,0.02759277786337365,0.4340852277035337,8.6263,NS
fimI,480.82,569.39,0.2437,0.027622675342906928,0.4340852277035337,9.0378,NS
yidC,2569.07,2060.44,-0.3182,0.028219584425553203,0.4387975580329517,11.177,NS
ymfN,183.04,161.18,-0.1829,0.028250563719976245,0.4387975580329517,7.4314,NS
yhfS,30.53,38.41,0.3266,0.028301994873151222,0.4387975580329517,5.128,NS
iaaA,2020.38,2585.21,0.3556,0.02833620808414536,0.4387975580329517,11.1695,NS
galE,266.22,212.94,-0.3215,0.028653539748764393,0.4420980696509357,7.9074,NS
nusA,3204.47,2652.45,-0.2727,0.028945707036717346,0.44395886257595546,11.5162,NS
ulaF,21.25,28.88,0.4339,0.028983409128809725,0.44395886257595546,4.6762,NS
pepP,2340.17,2008.64,-0.2203,0.0293332746457774,0.44770174216558817,11.0867,NS
aroG,2926.39,2525.1,-0.2127,0.029543579897112475,0.4492953745643306,11.4127,NS
yehS,92.85,108.31,0.2211,0.03002850770204483,0.4534425265175612,6.6593,NS
ykfI,36.29,24.68,-0.5472,0.03003874797092702,0.4534425265175612,4.9536,Up in A
yjcO,205.73,230.0,0.1605,0.03014533680793393,0.4534425265175612,7.7706,NS
nfrB,89.63,105.82,0.2384,0.03024375088486208,0.4534425265175612,6.618,NS
moaD,108.1,178.07,0.7175,0.030699858376015937,0.4557422089081383,7.1658,Up in C
hemE,598.0,505.34,-0.2427,0.03074976031753615,0.4557422089081383,9.109,NS
ymfK,273.83,324.35,0.2438,0.030877517472361952,0.4557422089081383,8.2268,NS
glmS,2968.42,2513.36,-0.24,0.03088048854885083,0.4557422089081383,11.4207,NS
ygdI,104.5,135.72,0.3756,0.030982031535499666,0.4557422089081383,6.9142,NS
modA,1177.39,248.11,-2.2443,0.031041597542882864,0.4557422089081383,9.4783,Up in A
secA,3753.57,3224.27,-0.2193,0.0315563299767432,0.46091732975272004,11.7688,NS
emtA,336.3,391.09,0.2174,0.03161134644309251,0.46091732975272004,8.5086,NS
ruvB,393.96,357.42,-0.1402,0.031756523930831816,0.4614483939675322,8.5553,NS
secF,872.75,802.76,-0.1205,0.03242805879866907,0.4695981347534228,9.7112,NS
trmE,764.62,657.95,-0.2166,0.03290773491125189,0.4749235347906183,9.4753,NS
sapA,465.53,423.92,-0.1349,0.03315126348846171,0.47640340684495514,8.7984,NS
yibN,646.94,577.36,-0.164,0.03323483582986253,0.47640340684495514,9.2589,NS
proW,514.42,329.48,-0.6419,0.0335989777403549,0.4780080099613642,8.7226,Up in A
yhhN,254.67,221.27,-0.2024,0.03384070640341064,0.4780080099613642,7.8977,NS
modC,532.05,229.43,-1.2117,0.03384654044969493,0.4780080099613642,8.5746,Up in A
ykfF,28.65,22.06,-0.3701,0.03397704537326483,0.4780080099613642,4.6924,NS
yhjY,147.07,194.44,0.4016,0.034011261406608186,0.4780080099613642,7.42,NS
yqjC,1532.13,1835.9,0.2609,0.0340227242536724,0.4780080099613642,10.7181,NS
yffI,88.57,68.52,-0.3679,0.03426576998125106,0.47858683889237075,6.3047,NS
ydbL,50.47,66.58,0.3964,0.03428951190744301,0.47858683889237075,5.8832,NS
ybjK,42.27,50.26,0.2472,0.03494612644803659,0.4861521787508828,5.5473,NS
visC,664.83,579.6,-0.1978,0.03507300916306352,0.4863228035257468,9.2824,NS
yhdA,610.64,699.85,0.1966,0.03562913423504646,0.49135459878417237,9.357,NS
yfeZ,104.87,88.65,-0.2412,0.035965914634169545,0.49135459878417237,6.6038,NS
yddE,351.88,323.07,-0.1231,0.03602465662155882,0.49135459878417237,8.4008,NS
